Sweep #,Time,Chan101,Chan102,Chan103,Chan104,Chan105,Chan106
129,26:42.6,2.00294412,14.5492224,14.3512396,14.3210845,14.3552277,14.9451508
130,26:52.6,2.00277473,14.5460089,14.358061,14.3215135,14.3401224,14.8059466
131,27:02.6,2.00249079,14.5673394,14.3765054,14.3291128,14.3671857,14.8974259
132,27:12.6,2.00231831,14.5750052,14.3670432,14.3381435,14.3686335,14.7652043
133,27:22.6,2.00203042,14.6039118,14.4024832,14.3698096,14.3917698,14.8861644
134,27:32.6,2.00187073,14.6149324,14.396775,14.3704786,14.4051452,14.8111543
135,27:42.6,2.00157863,14.6328986,14.4239499,14.4057763,14.4282262,14.825738
136,27:52.6,2.00141014,14.6230609,14.430089,14.4067105,14.4370254,14.8420356
137,28:02.6,2.00112273,14.6600508,14.4654435,14.440568,14.4566106,14.8241045
138,28:12.6,2.00096364,14.669362,14.4562883,14.4379249,14.4668447,14.8303985
139,28:22.6,2.00069935,14.6827254,14.4847303,14.4541057,14.4917733,14.8355891
140,28:32.6,2.00053982,14.701409,14.495822,14.4820821,14.4977382,14.8836444
141,28:42.6,2.0002413,14.7269492,14.525328,14.49966,14.524188,14.7972054
142,28:52.6,2.00014409,14.6960499,14.5093696,14.4959438,14.5327975,14.831367
143,29:02.6,1.99988785,14.7381585,14.537243,14.5081049,14.5342188,14.7761075
144,29:12.6,1.99976418,14.7369415,14.5433533,14.5205478,14.5503018,14.8461003
145,29:22.6,1.99947268,14.7476499,14.5570314,14.5261309,14.567932,14.7418132
146,29:32.6,1.99933879,14.77907,14.5780805,14.5579491,14.5783517,14.8888985
147,29:42.6,1.99910876,14.7801308,14.5980518,14.5725195,14.6028332,14.7232798
148,29:52.6,1.99900187,14.773299,14.5899211,14.5408808,14.5821083,14.8557658
149,30:02.6,1.99870313,14.8067243,14.6255161,14.5968272,14.6357939,14.7342958
150,30:12.6,1.99859087,14.8121839,14.6253478,14.5953096,14.6375608,14.877536
151,30:22.6,1.99838468,14.8334575,14.6416553,14.6161874,14.6448864,14.6895027
152,30:32.6,1.99823105,14.8354899,14.6406871,14.616471,14.6555297,14.8841499
153,30:42.6,1.99803195,14.8512807,14.657052,14.6345041,14.6752217,14.6909737
154,30:52.6,1.99787129,14.8509124,14.6693524,14.641016,14.6787864,14.89617
155,31:02.6,1.99765173,14.862101,14.6872835,14.6571528,14.6905128,14.630286
156,31:12.6,1.99752445,14.885082,14.6944451,14.6748266,14.704685,14.9245743
157,31:22.6,1.99731225,14.8872206,14.7154735,14.6929281,14.7091553,14.6488732
158,31:32.6,1.99720718,14.89284,14.7155518,14.6994813,14.7259375,14.8784347
159,31:42.6,1.99702919,14.9137291,14.7338129,14.705606,14.7469471,14.6729032
160,31:52.6,1.99688998,14.9071271,14.7375608,14.7214521,14.7552527,14.8833507
161,32:02.6,1.99671612,14.915978,14.7259833,14.7072724,14.7574657,14.6000548
162,32:12.6,1.99658966,14.9447923,14.7457749,14.7322457,14.7754277,14.8756504
163,32:22.6,1.99645067,14.9310841,14.7596883,14.7513503,14.7808052,14.598774
164,32:32.6,1.99630068,14.9568959,14.770209,14.7592848,14.781161,14.8668361
165,32:42.6,1.99614743,14.9517445,14.780529,14.7630716,14.7939494,14.5635545
166,32:52.6,1.99605361,14.9662647,14.7937825,14.7725991,14.8067462,14.8569914
167,33:02.6,1.99593038,14.9741913,14.793923,14.7762957,14.8114199,14.5798931
168,33:12.6,1.99575534,14.9795955,14.8087039,14.7890792,14.8227506,14.9064787
169,33:22.6,1.9956094,14.9803348,14.8081185,14.7876247,14.8200146,14.5864851
170,33:32.6,1.99545963,15.0048122,14.824307,14.8034731,14.8430748,14.8802889
171,33:42.6,1.99534508,15.0132447,14.8430178,14.8160758,14.856363,14.6089966
172,33:52.6,1.99517053,15.0308005,14.8552763,14.8427951,14.8727237,15.0118806
173,34:02.6,1.99454926,15.1356458,14.9589221,14.9358324,14.9668446,16.2177322
174,34:12.6,1.99341749,15.3054327,15.1345911,15.0926142,15.1090659,17.0578173
175,34:22.6,1.99217092,15.4373575,15.262308,15.2098415,15.2151801,17.4877994
176,34:32.6,1.99097515,15.5741315,15.3898586,15.3182551,15.327899,17.7900166
177,34:42.6,1.98986515,15.6777743,15.4896034,15.4332064,15.4314445,18.0205447
178,34:52.6,1.98880695,15.7509201,15.5943531,15.5080723,15.5048877,18.2541291
179,35:02.6,1.9877271,15.8723374,15.6761754,15.5954425,15.5998477,18.4752786
180,35:12.6,1.98666181,15.9663002,15.7676508,15.6811422,15.6820388,18.6650968
181,35:22.6,1.98561206,16.0632616,15.8597842,15.7711473,15.7763556,18.8629254
182,35:32.6,1.98461782,16.1357618,15.939856,15.8470402,15.8406427,19.0245597
183,35:42.6,1.98362824,16.212298,16.0131358,15.9172476,15.911063,19.2029624
184,35:52.6,1.98260639,16.3019447,16.1013482,16.0008814,15.9921556,19.3836776
185,36:02.6,1.98156552,16.3982293,16.1942077,16.0756431,16.0764812,19.5652035
186,36:12.6,1.98063302,16.4625966,16.2532941,16.163094,16.149619,19.6834025
187,36:22.6,1.97962155,16.5637098,16.3501401,16.2367131,16.2242055,19.8327395
188,36:32.6,1.97857561,16.6399146,16.410968,16.3002976,16.2916428,19.9711656
189,36:42.6,1.97752699,16.7317722,16.5046652,16.3822737,16.3739961,20.0653212
190,36:52.6,1.97644985,16.78875,16.5819165,16.452951,16.4534284,20.1674214
191,37:02.6,1.97550175,16.8714464,16.6418395,16.5360766,16.5262864,20.3066908
192,37:12.6,1.97447714,16.9422348,16.7220308,16.5938132,16.5960322,20.390265
193,37:22.6,1.97354803,17.0237824,16.7890075,16.6701107,16.6654594,20.496535
194,37:32.6,1.97254235,17.1148058,16.8742616,16.754696,16.7435562,20.5473506
195,37:42.6,1.97159668,17.1519963,16.9191402,16.796429,16.7913503,20.6180406
196,37:52.6,1.97069632,17.2277895,16.9882352,16.86738,16.8633208,20.6904598
197,38:02.6,1.96973281,17.2993072,17.056249,16.9299772,16.9316463,20.7670263
198,38:12.6,1.96879651,17.3559564,17.1190892,16.9928324,17.005274,20.7710512
199,38:22.6,1.96790359,17.4256598,17.17557,17.0541607,17.0598061,20.8627543
200,38:32.6,1.9670487,17.4772553,17.2400375,17.1068178,17.1154871,20.8574022
201,38:42.6,1.96612086,17.5456831,17.2924606,17.1873895,17.180612,20.9192384
202,38:52.6,1.96524993,17.6076556,17.3670462,17.2374666,17.2386853,20.9363748
203,39:02.6,1.96441197,17.6549707,17.4298487,17.2979786,17.297687,20.9501319
204,39:12.6,1.96359821,17.7148828,17.4812516,17.360244,17.3641244,20.9539081
205,39:22.6,1.96276027,17.7510546,17.5111866,17.3985253,17.4100424,20.9852838
206,39:32.6,1.96192975,17.8329337,17.5775751,17.4546719,17.4624458,20.9596519
207,39:42.6,1.96112679,17.8675968,17.6263138,17.5015584,17.5144631,21.0191845
208,39:52.6,1.96031761,17.9305698,17.6652245,17.5539152,17.5692444,20.9526289
209,40:02.6,1.95960637,17.97433,17.743659,17.624753,17.6194089,20.9990383
210,40:12.6,1.95888378,18.021652,17.7752077,17.6648794,17.6660439,20.9558566
211,40:22.6,1.95813132,18.0621332,17.8195411,17.711214,17.7197551,20.9625128
212,40:32.6,1.95739087,18.0894657,17.8529091,17.7405484,17.7611636,20.9494786
213,40:42.6,1.95673018,18.1485811,17.9057413,17.7900389,17.8112674,20.9228664
214,40:52.6,1.95604478,18.1939249,17.9548161,17.8419687,17.85395,20.8784718
215,41:02.6,1.95540347,18.2306512,17.9876045,17.8666935,17.8914115,20.8646915
216,41:12.6,1.95473361,18.2710823,18.0371403,17.9195393,17.933365,20.8430433
217,41:22.6,1.95406928,18.3092713,18.0641608,17.9700447,17.97903,20.8152591
218,41:32.6,1.95342585,18.3370335,18.0915437,17.9880997,18.0005062,20.7689749
219,41:42.6,1.95280039,18.3678354,18.1363644,18.0409698,18.0481182,20.7857258
220,41:52.6,1.95225006,18.4000914,18.1619698,18.0569468,18.0793393,20.703824
221,42:02.6,1.95166625,18.443572,18.2082709,18.1088302,18.1373545,20.7093981
222,42:12.6,1.95114996,18.4585657,18.2256167,18.1426712,18.158048,20.5523568
223,42:22.6,1.95059784,18.50793,18.2727024,18.1671051,18.2004434,20.5844249
224,42:32.6,1.95008718,18.5167451,18.2825852,18.1883414,18.202435,20.4366954
225,42:42.6,1.94964462,18.5375569,18.3060082,18.2178907,18.2561405,20.4622345
226,42:52.6,1.9491998,18.5713511,18.3453218,18.2507825,18.2879302,20.2895947
227,43:02.6,1.9487603,18.5924027,18.361204,18.2747855,18.312878,20.3662385
228,43:12.6,1.94832587,18.6119155,18.3920184,18.3122956,18.3477371,20.2487835
229,43:22.6,1.94790797,18.6260218,18.397021,18.3289759,18.3520598,20.3258985
230,43:32.6,1.94746858,18.6537923,18.4302424,18.3408975,18.391186,20.1714499
231,43:42.6,1.94703198,18.6828402,18.4604941,18.3850231,18.4175787,20.2595921
232,43:52.6,1.94663139,18.6947718,18.4801218,18.4033042,18.4367861,20.1260117
233,44:02.6,1.94626093,18.7271586,18.4969802,18.4316801,18.4643412,20.2160202
234,44:12.6,1.94588121,18.7345895,18.5236451,18.4482384,18.4873113,20.0332842
235,44:22.6,1.94549414,18.7664297,18.5509737,18.4769501,18.5135515,20.1191695
236,44:32.6,1.9451355,18.7695046,18.5713977,18.4988091,18.5441099,20.0185297
237,44:42.6,1.94470226,18.8067848,18.597734,18.5297488,18.5744612,20.1245023
238,44:52.6,1.94437962,18.8392166,18.5979103,18.5467723,18.5844588,19.9287437
239,45:02.6,1.94401903,18.8384186,18.6307513,18.5751876,18.6036159,20.0672285
240,45:12.6,1.94362655,18.8591415,18.6477918,18.5901972,18.6282408,19.9574993
241,45:22.6,1.94328032,18.8874687,18.6899924,18.6341018,18.6638035,20.0913671
242,45:32.6,1.94291562,18.9118117,18.7193657,18.6438994,18.6794983,19.9517709
243,45:42.6,1.94251244,18.9386968,18.7339485,18.6895259,18.7144254,20.0513529
244,45:52.6,1.94218727,18.946154,18.7425648,18.6815223,18.7238318,19.9333462
245,46:02.6,1.94182946,18.9811153,18.7801556,18.7176674,18.7611279,19.9883719
246,46:12.6,1.94152667,18.9876716,18.7950929,18.7398168,18.7859264,19.8871023
247,46:22.6,1.94114003,19.0072716,18.8230296,18.7592896,18.7954706,20.0035545
248,46:32.6,1.94084388,19.0139752,18.8206782,18.7796359,18.8040848,19.8189388
249,46:42.6,1.94052984,19.047911,18.8463976,18.8187571,18.8430054,19.9637186
250,46:52.6,1.94022795,19.0581727,18.8684373,18.8182499,18.8512226,19.8362609
251,47:02.6,1.93987533,19.0966237,18.9005151,18.8608277,18.8869697,19.9676286
252,47:12.6,1.93962694,19.089774,18.9013645,18.8593469,18.8929511,19.8092246
253,47:22.6,1.93926756,19.1122695,18.9277846,18.8998548,18.9271214,19.9207322
254,47:32.6,1.93902703,19.1384461,18.9558986,18.9054485,18.9396296,19.7967618
255,47:42.6,1.93869168,19.159581,18.9678928,18.9284053,18.9630142,19.8860319
256,47:52.6,1.93843395,19.1699098,18.9876326,18.9530934,18.974251,19.7942011
257,48:02.6,1.93809379,19.199371,19.0047967,18.9797642,19.0074246,19.8728094
258,48:12.6,1.93787478,19.1918052,19.0103432,18.9837313,19.013909,19.7582614
259,48:22.6,1.93758593,19.2221264,19.0352912,18.9941899,19.0368359,19.8567168
260,48:32.6,1.93733487,19.2281825,19.0422012,19.0159691,19.0434192,19.7446
261,48:42.6,1.93703243,19.2610936,19.0730138,19.0313041,19.0724425,19.8405659
262,48:52.6,1.93682892,19.2659482,19.0775416,19.0473229,19.0834141,19.7414834
263,49:02.6,1.93650625,19.2948584,19.1120365,19.0719712,19.112206,19.8392236
264,49:12.6,1.9362357,19.303366,19.1288947,19.0852016,19.131073,19.852236
265,49:22.6,1.935928,19.3402701,19.1528179,19.1049461,19.1411284,19.8409847
266,49:32.6,1.9357316,19.3302289,19.1691458,19.1232263,19.1616318,19.7890317
267,49:42.6,1.93546193,19.342721,19.1681727,19.1269942,19.1660307,19.7499592
268,49:52.6,1.93525809,19.3601031,19.174725,19.1571805,19.1940482,19.7175278
269,50:02.6,1.93499898,19.3755401,19.2102399,19.1787741,19.2062995,19.7605185
270,50:12.6,1.93478355,19.3916925,19.2203836,19.1773429,19.2091876,19.7748787
271,50:22.6,1.93453743,19.4040228,19.235245,19.1938831,19.2343751,19.729072
272,50:32.6,1.93434372,19.4167367,19.2552785,19.2153516,19.2574527,19.748782
273,50:42.6,1.93404782,19.4474767,19.2643422,19.2262693,19.2578701,19.7568573
274,50:52.6,1.93382234,19.4495091,19.2762582,19.2376478,19.2665732,19.7944783
275,51:02.6,1.93359233,19.4742009,19.3092462,19.2629862,19.3003205,19.7284957
276,51:12.6,1.93339874,19.4823093,19.3009869,19.2730757,19.3103261,19.7208086
277,51:22.6,1.93319219,19.4961385,19.3373072,19.3198486,19.3253049,19.6833163
278,51:32.6,1.93298035,19.5053985,19.3464515,19.3072671,19.3384768,19.7276961
279,51:42.6,1.93276622,19.5128137,19.3552936,19.3308985,19.3629151,19.7041844
280,51:52.6,1.93258216,19.522603,19.3568572,19.3462292,19.3646623,19.7413493
281,52:02.6,1.93232184,19.5490379,19.3807574,19.3613014,19.374178,19.7002544
282,52:12.6,1.93214327,19.5553197,19.3963853,19.3558796,19.4027368,19.7523783
283,52:22.6,1.93190472,19.5726637,19.4055236,19.3825731,19.4076701,19.684569
284,52:32.6,1.93171226,19.5792069,19.4141727,19.4040322,19.4214505,19.8013819
285,52:42.6,1.93148167,19.6016802,19.4363807,19.4097107,19.4570948,19.6979243
286,52:52.6,1.93126383,19.6204231,19.4495291,19.4270054,19.4678286,19.8091147
287,53:02.6,1.93105383,19.6136467,19.4631787,19.4360337,19.462023,19.6310738
288,53:12.6,1.93090235,19.6204179,19.4631376,19.4340389,19.4730003,19.7399156
289,53:22.6,1.93069186,19.6393649,19.4801884,19.4838799,19.4990834,19.6850552
290,53:32.6,1.93054703,19.657183,19.4994926,19.463867,19.5097329,19.7790091
291,53:42.6,1.93033364,19.6660716,19.497784,19.4907672,19.5163342,19.6972464
292,53:52.6,1.93015557,19.6892276,19.5241825,19.4953593,19.5324333,19.7836654
293,54:02.6,1.92996459,19.6936259,19.5381242,19.5158058,19.548029,19.6536094
294,54:12.6,1.92979172,19.7187864,19.5441989,19.5298781,19.569618,19.7980077
295,54:22.6,1.92959463,19.7162554,19.563318,19.5379257,19.5787803,19.6813549
296,54:32.6,1.92943107,19.7317991,19.5658631,19.5424185,19.5901671,19.8192347
297,54:42.6,1.92922987,19.7407849,19.5919268,19.5667277,19.5833237,19.6602429
298,54:52.6,1.92911602,19.74703,19.5952864,19.5772654,19.6132723,19.7957986
299,55:02.6,1.92892758,19.7643146,19.6056114,19.5855927,19.6158313,19.6354765
300,55:12.6,1.92878373,19.767718,19.6096776,19.5955348,19.618491,19.791801
301,55:22.6,1.92863437,19.7753376,19.6213985,19.5998326,19.6399276,19.6275926
302,55:32.6,1.92847187,19.78888,19.6440447,19.6168147,19.6533234,19.8302657
303,55:42.6,1.92828199,19.80107,19.6427307,19.6165036,19.6457986,19.6361702
304,55:52.6,1.92812525,19.8182436,19.6592167,19.6335597,19.6674797,19.7885537
305,56:02.6,1.92799541,19.8188198,19.6499557,19.6441706,19.685571,19.6187261
306,56:12.6,1.92784277,19.8172556,19.6675876,19.6646074,19.6930492,19.8260612
307,56:22.6,1.92768619,19.8380415,19.6846016,19.6616359,19.7087986,19.6453271
308,56:32.6,1.92751793,19.850349,19.6909206,19.6860499,19.7213489,19.8199171
