Time,cell37temp,cell38temp,cell39temp,cell40temp,cell41temp,cell42temp,mintemp37to42,maxtemp37to42,cell43temp,cell44temp,cell45temp,cell46temp,cell47temp,cell48temp,mintemp43to48,maxtemp43to48
1711070554013,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070555000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070555011,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070555738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070555748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070556106,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070556116,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.9801779999999995,0.509782,4.9801779999999995
1711070557000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070557012,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070557738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070557748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070558319,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070558330,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070559057,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070559067,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070560000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070560010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070560738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070560748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070561271,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070561281,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070562008,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070562019,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070563000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070563010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070563738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070563748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070564222,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070564232,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070565000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070565010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070566000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070566011,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070566738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070566748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070567173,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070567183,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070568000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070568010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070569000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070569010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070569737,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070569748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070570124,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070570134,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070571000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070571010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070571738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070572000,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070572728,1.4117039999999998,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.4117039999999998,,,,,,,,
1711070572738,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070573075,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070573085,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070574000,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070574010,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070574738,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070574748,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070575289,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070575299,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
1711070576027,1.392097,0.509782,1.392097,1.392097,0.509782,1.37249,0.509782,1.392097,,,,,,,,
1711070576037,,,,,,,,,0.509782,0.509782,0.509782,1.4117039999999998,0.509782,4.999785,0.509782,4.999785
